"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
dkq_score,escalas,,calc,"Pontuação bruta DKQ-10","([dkq_1]='1') + ([dkq_2]='1') + ([dkq_3]='0') + ([dkq_4]='0') + ([dkq_5]='0') + ([dkq_6]='1') + ([dkq_7]='0') + ([dkq_8]='0') + ([dkq_9]='1') + ([dkq_10]='1')","Soma bruta das respostas Verdadeiro. A pontuação de conhecimento correto deve ser calculada em fase de análise, tendo em conta o gabarito (V para itens 1,2,6,9,10; F para itens 3,4,5,7,8).",,,,,,,,,,," @READONLY"
sat_cuidados,escalas,"Satisfação com os Cuidados Recebidos",radio,"Grau de satisfação com os cuidados recebidos","1, Muito insatisfeito | 2, Insatisfeito | 3, Neutro | 4, Satisfeito | 5, Muito satisfeito","Preencher em todos os participantes (intervenção e controlo)",,,,,,y,,,escala_sat,,
sat_equipa,escalas,,radio,"Grau de satisfação com a comunicação com a equipa de saúde","1, Muito insatisfeito | 2, Insatisfeito | 3, Neutro | 4, Satisfeito | 5, Muito satisfeito",,,,,,,y,,,escala_sat,,
sat_info,escalas,,radio,"Grau de satisfação com a informação recebida sobre a sua diabetes","1, Muito insatisfeito | 2, Insatisfeito | 3, Neutro | 4, Satisfeito | 5, Muito satisfeito",,,,,,,y,,,escala_sat,,
freq_registo_alimentar,utilizacao_app,"Adesão ao Registo Alimentar",radio,"Frequência de registo alimentar na app (média das últimas 4 semanas)","1, Nunca | 2, 1-2 vezes por semana | 3, 3-5 vezes por semana | 4, Diariamente",,,,,,,y,,,,,
dias_registo,utilizacao_app,,text,"Número de dias com registo alimentar completo (últimos 28 dias)",,,integer,0,28,,,y,,,,,
freq_monitorizacao,utilizacao_app,"Monitorização Glicémica",text,"Número médio de medições de glicémia capilar por semana",,,integer,0,50,,,y,,,,,
integracao_glucometro,utilizacao_app,,radio,"Glucómetro com Bluetooth emparelhado com a app?","1, Sim | 0, Não",,,,,,,y,,,,,
satisfacao_app,utilizacao_app,"Satisfação com a App",radio,"Grau de satisfação com a app GlucoCheck","1, Muito insatisfeito | 2, Insatisfeito | 3, Neutro | 4, Satisfeito | 5, Muito satisfeito",,,,,,,y,,,,,
ea_ocorreu,evento_adverso,"Evento Adverso",radio,"Ocorreu evento adverso a reportar nesta visita?","1, Sim | 0, Não","Em caso de Não, os campos seguintes não necessitam de preenchimento.",,,,,,y,,,,,
